"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5627","Открытие ответа на вопрос: Хочу сразу несколько самокатов! Так можно?","test","Fri May 15 16:57:51 MSK 2026","passed","Fri May 15 16:57:57 MSK 2026","TestFaqAccordion","test_faq","",""
"","6503","Позитивный сценарий заказа: Анна Смирнова, вход: top","test","Fri May 15 16:58:52 MSK 2026","passed","Fri May 15 16:58:59 MSK 2026","TestOrderScooter","test_order","",""
"","6784","Позитивный сценарий заказа: Пётр Петров, вход: bottom","test","Fri May 15 16:59:02 MSK 2026","passed","Fri May 15 16:59:09 MSK 2026","TestOrderScooter","test_order","",""
"","5640","Открытие ответа на вопрос: Можно ли продлить заказ или вернуть самокат раньше?","test","Fri May 15 16:58:17 MSK 2026","passed","Fri May 15 16:58:23 MSK 2026","TestFaqAccordion","test_faq","",""
"","5511","Открытие ответа на вопрос: Вы привозите зарядку вместе с самокатом?","test","Fri May 15 16:58:26 MSK 2026","passed","Fri May 15 16:58:32 MSK 2026","TestFaqAccordion","test_faq","",""
"","5130","Открытие ответа на вопрос: Я жизу за МКАДом, привезёте?","test","Fri May 15 16:58:44 MSK 2026","passed","Fri May 15 16:58:49 MSK 2026","TestFaqAccordion","test_faq","",""
"","3788","Логотип Яндекса открывает Дзен в новой вкладке","test","Fri May 15 16:59:18 MSK 2026","passed","Fri May 15 16:59:22 MSK 2026","TestOrderScooter","test_order","",""
"","5165","Открытие ответа на вопрос: Как рассчитывается время аренды?","test","Fri May 15 16:58:00 MSK 2026","passed","Fri May 15 16:58:05 MSK 2026","TestFaqAccordion","test_faq","",""
"","2807","Логотип Самоката ведёт на главную страницу","test","Fri May 15 16:59:12 MSK 2026","passed","Fri May 15 16:59:15 MSK 2026","TestOrderScooter","test_order","",""
"","5483","Открытие ответа на вопрос: Можно ли отменить заказ?","test","Fri May 15 16:58:35 MSK 2026","passed","Fri May 15 16:58:41 MSK 2026","TestFaqAccordion","test_faq","",""
"","6383","Открытие ответа на вопрос: Сколько это стоит? И как оплатить?","test","Fri May 15 16:57:41 MSK 2026","passed","Fri May 15 16:57:48 MSK 2026","TestFaqAccordion","test_faq","",""
"","5504","Открытие ответа на вопрос: Можно ли заказать самокат прямо на сегодня?","test","Fri May 15 16:58:08 MSK 2026","passed","Fri May 15 16:58:14 MSK 2026","TestFaqAccordion","test_faq","",""
